acl 2.3.1-2
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.28-2
libxcursor 1.2.0-2
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.4.0-1
libxkbcommon-x11 1.4.0-1
libxkbfile 1.1.0-2
libxml2 2.9.13-1
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyuv r2266+eb6e7bb6-1
licenses 20220125-1
linux 5.16.16.arch1-1
linux-api-headers 5.16.8-1
linux-firmware 20220309.cd01f85-1
linux-firmware-whence 20220309.cd01f85-1
linux-hardened 5.16.17.hardened1-1
linux-hardened-headers 5.16.17.hardened1-1
linux-headers 5.16.16.arch1-1
linux-lts 5.15.31-1
linux-lts-headers 5.15.31-1
llvm-libs 13.0.1-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lsof 4.94.0-1
lua53 5.3.6-1
lvm2 2.03.15-1
lz4 1:1.9.3-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-11
m4 1.4.19-1
maim 5.7.4-2
make 4.3-3
man-db 2.10.2-1
man-pages 5.13-1
menu-cache 1.1.0-2
mesa 21.3.7-2
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mpfr 4.1.0.p13-2
mtdev 1.1.6-1
nano 6.2-1
ncurses 6.3-2
neofetch 7.1.0-2
nettle 3.7.3-1
nmap 7.92-1
nodejs 17.8.0-1
noto-fonts 20201226-2
noto-fonts-emoji 20211101-1
noto-fonts-extra 20201226-2
npth 1.6-3
nspr 4.33-1
nss 3.76-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openssh 8.9p1-1
openssl 1.1.1.n-1
opus 1.3.1-3
p11-kit 0.24.1-1
pacman 6.0.1-4
pacman-mirrorlist 20220227-1
pahole 1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.6-1
patch 2.7.6-8
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
perl 5.34.0-3
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
pinentry 1.2.0-1
pixman 0.40.0-1
pkgconf 1.8.0-1
pkgfile 21-2
polkit 0.120-5
popt 1.18-3
procps-ng 3.3.17-1
psmisc 23.4-1
python 3.10.4-1
python-appdirs 1.4.4-6
python-bcrypt 3.2.0-5
python-cachecontrol 1:0.12.6-4
python-cairo 1.21.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.2-1
python-distlib 0.3.4-1
python-distro 1.7.0-1
python-docker 5.0.3-3
python-docker-pycreds 0.4.0-9
python-dockerpty 0.4.1-9
python-docutils 1:0.16-2
python-filelock 3.4.2-1
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-4
python-importlib-metadata 4.8.1-3
python-more-itertools 8.12.0-1
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-paramiko 2.9.2-1
python-pep517 0.12.0-4
python-pip 21.0-1
python-platformdirs 2.5.0-1
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pynacl 1.4.0-5
python-pyopenssl 22.0.0-1
python-pyparsing 3.0.7-1
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.4.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-urllib3 1.26.9-1
python-utils 3.1.0-1
python-virtualenv 20.11.0-1
python-webencodings 0.5.1-9
python-websocket-client 1.2.3-2
python-zipp 3.7.0-1
rav1e 0.4.1-2
readline 8.1.002-1
rest 0.8.1+r4+ge5ee6ef-1
rofi 1.7.3-1
rofi-calc 2.1.0-1
rofi-emoji 2.2.0-2
runc 1.1.0-1
rxvt-unicode 9.26-2
